epoch,train_loss,val_loss
1000,0.19363442063331604,0.17720690369606018
2000,0.17163445055484772,0.20069053769111633
3000,0.14511342346668243,0.1630144715309143
4000,0.28323426842689514,0.16870461404323578
5000,0.18446852266788483,0.1803291290998459
6000,0.2702969014644623,0.15324485301971436
7000,0.16569222509860992,0.14716778695583344
8000,0.17369064688682556,0.13427899777889252
9000,0.16310694813728333,0.12442653626203537
10000,0.14507055282592773,0.12709785997867584
11000,0.13308726251125336,0.12556229531764984
12000,0.1295650452375412,0.12476705759763718
