epoch,train_loss,val_loss
1000,0.15086042881011963,0.15704743564128876
2000,0.12489813566207886,0.16134777665138245
3000,0.23265917599201202,0.15788942575454712
4000,0.0520990788936615,0.19412317872047424
5000,0.10701385140419006,0.1658259928226471
6000,0.07457197457551956,0.17303796112537384
7000,0.06951137632131577,0.17929546535015106
8000,0.052567265927791595,0.1679285615682602
9000,0.08370297402143478,0.16900238394737244
10000,0.07238335907459259,0.1639583259820938
11000,0.03685624897480011,0.17106564342975616
12000,0.06350302696228027,0.15445901453495026
