epoch,train_loss,val_loss
1000,0.184535413980484,0.12473813444375992
2000,0.15792495012283325,0.1143694594502449
3000,0.08645574003458023,0.09772379696369171
4000,0.08934325724840164,0.0956050232052803
5000,0.0898805484175682,0.09416744858026505
6000,0.09926707297563553,0.08672577887773514
7000,0.06851512938737869,0.08237799257040024
8000,0.08987696468830109,0.07842541486024857
9000,0.0779205709695816,0.07713648676872253
10000,0.10032609105110168,0.07770094275474548
11000,0.07881815731525421,0.07706117630004883
12000,0.043491460382938385,0.07554759085178375
