epoch,train_loss,val_loss
1000,0.20166073739528656,0.22333499789237976
2000,0.07916679233312607,0.21759042143821716
3000,0.11208237707614899,0.19862040877342224
4000,0.11834987252950668,0.21154725551605225
5000,0.07763951271772385,0.22783774137496948
6000,0.0728764459490776,0.22654704749584198
7000,0.0973627045750618,0.2192409336566925
8000,0.04123147949576378,0.23425720632076263
9000,0.15613572299480438,0.2357843667268753
10000,0.07767371833324432,0.23165923357009888
11000,0.045906804502010345,0.23574474453926086
12000,0.09458151459693909,0.22852236032485962
