epoch,train_loss,val_loss
1000,0.11661004275083542,0.19293005764484406
2000,0.11482937633991241,0.20539581775665283
3000,0.07666575908660889,0.17250190675258636
4000,272437560213504.0,360104016740352.0
5000,154996930772992.0,217728115802112.0
6000,114280565309440.0,152062746689536.0
7000,63501850640384.0,113599460671488.0
8000,70040938348544.0,92842814865408.0
9000,63568879812608.0,83138344648704.0
10000,56543298977792.0,80872178974720.0
11000,57559926964224.0,76453697814528.0
12000,35095964549120.0,50755083960320.0
