epoch,train_loss,val_loss
1000,0.17902638018131256,0.19216804206371307
2000,0.17454473674297333,0.1633840650320053
3000,0.09837711602449417,0.14316223561763763
4000,0.11945690214633942,0.13550715148448944
5000,0.15268509089946747,0.14186380803585052
6000,0.15844304859638214,0.14273874461650848
7000,0.12553034722805023,0.13165634870529175
8000,0.1562778800725937,0.12590792775154114
9000,0.1267351508140564,0.13086122274398804
10000,0.080136239528656,0.12899628281593323
11000,0.16545166075229645,0.1273060441017151
12000,0.08446697890758514,0.1276671141386032
