epoch,train_loss,val_loss
1000,0.11326438933610916,0.22289350926876067
2000,0.09136694669723511,0.21962588429450988
3000,0.1978951245546341,0.21965329945087433
4000,0.12039870768785477,0.2373870223760605
5000,0.05432640761137009,0.23380279541015625
6000,0.06979639828205109,0.2187049627304077
7000,0.10016991198062897,0.22100629210472106
8000,0.09107384085655212,0.22781278789043427
9000,0.08238574862480164,0.2492189347743988
10000,0.059494782239198685,0.2525234669446945
11000,0.08167751133441925,0.24348655641078948
12000,0.04949437826871872,0.24759225845336913
