epoch,train_loss,val_loss
1000,0.14253200590610504,0.21883220374584197
2000,0.07886513322591782,0.25049316585063935
3000,0.19468653202056885,0.20556721091270447
4000,0.07653748989105225,0.2113172709941864
5000,0.0549190379679203,0.19948035776615142
6000,0.08170760422945023,0.22088745832443238
7000,0.051640793681144714,0.22297806143760682
8000,0.08177479356527328,0.224248069524765
9000,0.06763602048158646,0.22668803632259368
10000,0.03140456601977348,0.22172631323337555
11000,0.02870393544435501,0.2184987723827362
12000,0.03213167563080788,0.23191927671432494
