epoch,train_loss,val_loss
1000,0.22064870595932007,0.27635702192783357
2000,0.21248434484004974,0.21196333467960357
3000,0.08155123889446259,0.24035924077033996
4000,0.13402198255062103,0.2443332552909851
5000,0.15588685870170593,0.2127835214138031
6000,0.16122077405452728,0.24010692834854125
7000,0.07158772647380829,0.2249373346567154
8000,0.08488868921995163,0.2140383929014206
9000,0.10676258057355881,0.21267842948436738
10000,0.08860550820827484,0.21039208471775056
11000,0.09463998675346375,0.23002228438854216
12000,0.21202386915683746,0.19374827146530152
