epoch,train_loss,val_loss
1000,0.13099829852581024,0.22454577684402466
2000,0.16181008517742157,0.23053497970104217
3000,0.1363469809293747,0.2296133518218994
4000,0.1286115050315857,0.2329734444618225
5000,0.22137269377708435,0.21749902069568633
6000,0.09715695679187775,0.19719999730587007
7000,0.07971372455358505,0.19676869511604309
8000,0.08310551941394806,0.18668500185012818
9000,0.10998650640249252,0.19500731229782103
10000,0.09319764375686646,0.1951473981142044
11000,0.09554136544466019,0.19463242888450621
12000,0.06311339884996414,0.19673003554344176
